0x00041; 0x00061
0x00042; 0x00062
0x00043; 0x00063
0x00044; 0x00064
0x00045; 0x00065
0x00046; 0x00066
0x00047; 0x00067
0x00048; 0x00068
0x00049; 0x00130, 0x00131, 0x00069
0x0004A; 0x0006A
0x0004B; 0x0212A, 0x0006B
0x0004C; 0x0006C
0x0004D; 0x0006D
0x0004E; 0x0006E
0x0004F; 0x0006F
0x00050; 0x00070
0x00051; 0x00071
0x00052; 0x00072
0x00053; 0x00073, 0x0017F
0x00054; 0x00074
0x00055; 0x00075
0x00056; 0x00076
0x00057; 0x00077
0x00058; 0x00078
0x00059; 0x00079
0x0005A; 0x0007A
0x00061; 0x00041
0x00062; 0x00042
0x00063; 0x00043
0x00064; 0x00044
0x00065; 0x00045
0x00066; 0x00046
0x00067; 0x00047
0x00068; 0x00048
0x00069; 0x00130, 0x00131, 0x00049
0x0006A; 0x0004A
0x0006B; 0x0212A, 0x0004B
0x0006C; 0x0004C
0x0006D; 0x0004D
0x0006E; 0x0004E
0x0006F; 0x0004F
0x00070; 0x00050
0x00071; 0x00051
0x00072; 0x00052
0x00073; 0x00053, 0x0017F
0x00074; 0x00054
0x00075; 0x00055
0x00076; 0x00056
0x00077; 0x00057
0x00078; 0x00058
0x00079; 0x00059
0x0007A; 0x0005A
0x010A0; 0x02D00
0x010A1; 0x02D01
0x010A2; 0x02D02
0x010A3; 0x02D03
0x010A4; 0x02D04
0x010A5; 0x02D05
0x010A6; 0x02D06
0x010A7; 0x02D07
0x010A8; 0x02D08
0x010A9; 0x02D09
0x010AA; 0x02D0A
0x010AB; 0x02D0B
0x010AC; 0x02D0C
0x010AD; 0x02D0D
0x010AE; 0x02D0E
0x010AF; 0x02D0F
0x010B0; 0x02D10
0x010B1; 0x02D11
0x010B2; 0x02D12
0x010B3; 0x02D13
0x010B4; 0x02D14
0x010B5; 0x02D15
0x000B5; 0x0039C, 0x003BC
0x010B6; 0x02D16
0x010B7; 0x02D17
0x010B8; 0x02D18
0x010B9; 0x02D19
0x010BA; 0x02D1A
0x010BB; 0x02D1B
0x010BC; 0x02D1C
0x010BD; 0x02D1D
0x010BE; 0x02D1E
0x010BF; 0x02D1F
0x010C0; 0x02D20
0x000C0; 0x000E0
0x010C1; 0x02D21
0x000C1; 0x000E1
0x010C2; 0x02D22
0x000C2; 0x000E2
0x010C3; 0x02D23
0x000C3; 0x000E3
0x010C4; 0x02D24
0x000C4; 0x000E4
0x010C5; 0x02D25
0x000C5; 0x000E5, 0x0212B
0x000C6; 0x000E6
0x010C7; 0x02D27
0x000C7; 0x000E7
0x000C8; 0x000E8
0x000C9; 0x000E9
0x000CA; 0x000EA
0x000CB; 0x000EB
0x000CC; 0x000EC
0x010CD; 0x02D2D
0x000CD; 0x000ED
0x000CE; 0x000EE
0x000CF; 0x000EF
0x010D0; 0x01C90
0x000D0; 0x000F0
0x010D1; 0x01C91
0x000D1; 0x000F1
0x010D2; 0x01C92
0x000D2; 0x000F2
0x010D3; 0x01C93
0x000D3; 0x000F3
0x010D4; 0x01C94
0x000D4; 0x000F4
0x010D5; 0x01C95
0x000D5; 0x000F5
0x010D6; 0x01C96
0x000D6; 0x000F6
0x010D7; 0x01C97
0x010D8; 0x01C98
0x000D8; 0x000F8
0x010D9; 0x01C99
0x000D9; 0x000F9
0x010DA; 0x01C9A
0x000DA; 0x000FA
0x010DB; 0x01C9B
0x000DB; 0x000FB
0x010DC; 0x01C9C
0x000DC; 0x000FC
0x010DD; 0x01C9D
0x000DD; 0x000FD
0x010DE; 0x01C9E
0x000DE; 0x000FE
0x000DF; 0x01E9E
0x010DF; 0x01C9F
0x010E0; 0x01CA0
0x000E0; 0x000C0
0x010E1; 0x01CA1
0x000E1; 0x000C1
0x010E2; 0x01CA2
0x000E2; 0x000C2
0x010E3; 0x01CA3
0x000E3; 0x000C3
0x010E4; 0x01CA4
0x000E4; 0x000C4
0x010E5; 0x01CA5
0x000E5; 0x000C5, 0x0212B
0x010E6; 0x01CA6
0x000E6; 0x000C6
0x010E7; 0x01CA7
0x000E7; 0x000C7
0x010E8; 0x01CA8
0x000E8; 0x000C8
0x010E9; 0x01CA9
0x000E9; 0x000C9
0x010EA; 0x01CAA
0x000EA; 0x000CA
0x010EB; 0x01CAB
0x000EB; 0x000CB
0x010EC; 0x01CAC
0x000EC; 0x000CC
0x010ED; 0x01CAD
0x000ED; 0x000CD
0x010EE; 0x01CAE
0x000EE; 0x000CE
0x010EF; 0x01CAF
0x000EF; 0x000CF
0x010F0; 0x01CB0
0x000F0; 0x000D0
0x010F1; 0x01CB1
0x000F1; 0x000D1
0x010F2; 0x01CB2
0x000F2; 0x000D2
0x010F3; 0x01CB3
0x000F3; 0x000D3
0x010F4; 0x01CB4
0x000F4; 0x000D4
0x010F5; 0x01CB5
0x000F5; 0x000D5
0x010F6; 0x01CB6
0x000F6; 0x000D6
0x010F7; 0x01CB7
0x010F8; 0x01CB8
0x000F8; 0x000D8
0x010F9; 0x01CB9
0x000F9; 0x000D9
0x010FA; 0x01CBA
0x000FA; 0x000DA
0x000FB; 0x000DB
0x000FC; 0x000DC
0x010FD; 0x01CBD
0x000FD; 0x000DD
0x010FE; 0x01CBE
0x000FE; 0x000DE
0x010FF; 0x01CBF
0x000FF; 0x00178
0x00100; 0x00101
0x00101; 0x00100
0x00102; 0x00103
0x00103; 0x00102
0x00104; 0x00105
0x00105; 0x00104
0x00106; 0x00107
0x00107; 0x00106
0x00108; 0x00109
0x00109; 0x00108
0x0010A; 0x0010B
0x0010B; 0x0010A
0x0010C; 0x0010D
0x0010D; 0x0010C
0x0010E; 0x0010F
0x0010F; 0x0010E
0x00110; 0x00111
0x00111; 0x00110
0x00112; 0x00113
0x00113; 0x00112
0x00114; 0x00115
0x00115; 0x00114
0x00116; 0x00117
0x00117; 0x00116
0x00118; 0x00119
0x00119; 0x00118
0x0011A; 0x0011B
0x0011B; 0x0011A
0x0011C; 0x0011D
0x0011D; 0x0011C
0x0011E; 0x0011F
0x0011F; 0x0011E
0x00120; 0x00121
0x00121; 0x00120
0x00122; 0x00123
0x00123; 0x00122
0x00124; 0x00125
0x00125; 0x00124
0x02126; 0x003A9, 0x003C9
0x00126; 0x00127
0x00127; 0x00126
0x00128; 0x00129
0x00129; 0x00128
0x0212A; 0x0004B, 0x0006B
0x0012A; 0x0012B
0x0212B; 0x000C5, 0x000E5
0x0012B; 0x0012A
0x0012C; 0x0012D
0x0012D; 0x0012C
0x0012E; 0x0012F
0x0012F; 0x0012E
0x00130; 0x00131, 0x00049, 0x00069
0x00131; 0x00130, 0x00069, 0x00049
0x02132; 0x0214E
0x00132; 0x00133
0x00133; 0x00132
0x00134; 0x00135
0x00135; 0x00134
0x00136; 0x00137
0x00137; 0x00136
0x00139; 0x0013A
0x0013A; 0x00139
0x0013B; 0x0013C
0x0013C; 0x0013B
0x0013D; 0x0013E
0x0013E; 0x0013D
0x0013F; 0x00140
0x00140; 0x0013F
0x00141; 0x00142
0x00142; 0x00141
0x00143; 0x00144
0x00144; 0x00143
0x00145; 0x00146
0x00146; 0x00145
0x00147; 0x00148
0x00148; 0x00147
0x0014A; 0x0014B
0x0014B; 0x0014A
0x0014C; 0x0014D
0x0014D; 0x0014C
0x0214E; 0x02132
0x0014E; 0x0014F
0x0014F; 0x0014E
0x00150; 0x00151
0x00151; 0x00150
0x00152; 0x00153
0x00153; 0x00152
0x00154; 0x00155
0x00155; 0x00154
0x00156; 0x00157
0x00157; 0x00156
0x00158; 0x00159
0x00159; 0x00158
0x0015A; 0x0015B
0x0015B; 0x0015A
0x0015C; 0x0015D
0x0015D; 0x0015C
0x0015E; 0x0015F
0x0015F; 0x0015E
0x02160; 0x02170
0x00160; 0x00161
0x02161; 0x02171
0x00161; 0x00160
0x02162; 0x02172
0x00162; 0x00163
0x02163; 0x02173
0x00163; 0x00162
0x02164; 0x02174
0x00164; 0x00165
0x02165; 0x02175
0x00165; 0x00164
0x02166; 0x02176
0x00166; 0x00167
0x02167; 0x02177
0x00167; 0x00166
0x02168; 0x02178
0x00168; 0x00169
0x02169; 0x02179
0x00169; 0x00168
0x0216A; 0x0217A
0x0016A; 0x0016B
0x0216B; 0x0217B
0x0016B; 0x0016A
0x0216C; 0x0217C
0x0016C; 0x0016D
0x0216D; 0x0217D
0x0016D; 0x0016C
0x0216E; 0x0217E
0x0016E; 0x0016F
0x0216F; 0x0217F
0x0016F; 0x0016E
0x02170; 0x02160
0x00170; 0x00171
0x02171; 0x02161
0x00171; 0x00170
0x02172; 0x02162
0x00172; 0x00173
0x02173; 0x02163
0x00173; 0x00172
0x02174; 0x02164
0x00174; 0x00175
0x02175; 0x02165
0x00175; 0x00174
0x02176; 0x02166
0x00176; 0x00177
0x02177; 0x02167
0x00177; 0x00176
0x02178; 0x02168
0x00178; 0x000FF
0x02179; 0x02169
0x00179; 0x0017A
0x0217A; 0x0216A
0x0017A; 0x00179
0x0217B; 0x0216B
0x0017B; 0x0017C
0x0217C; 0x0216C
0x0017C; 0x0017B
0x0217D; 0x0216D
0x0017D; 0x0017E
0x0217E; 0x0216E
0x0017E; 0x0017D
0x0217F; 0x0216F
0x0017F; 0x00053, 0x00073
0x00180; 0x00243
0x00181; 0x00253
0x00182; 0x00183
0x02183; 0x02184
0x00183; 0x00182
0x02184; 0x02183
0x00184; 0x00185
0x00185; 0x00184
0x00186; 0x00254
0x00187; 0x00188
0x00188; 0x00187
0x00189; 0x00256
0x0018A; 0x00257
0x0018B; 0x0018C
0x0018C; 0x0018B
0x0018E; 0x001DD
0x0018F; 0x00259
0x00190; 0x0025B
0x00191; 0x00192
0x00192; 0x00191
0x00193; 0x00260
0x00194; 0x00263
0x00195; 0x001F6
0x00196; 0x00269
0x00197; 0x00268
0x00198; 0x00199
0x00199; 0x00198
0x0019A; 0x0023D
0x0019B; 0x0A7DC
0x0019C; 0x0026F
0x0019D; 0x00272
0x0019E; 0x00220
0x0019F; 0x00275
0x001A0; 0x001A1
0x001A1; 0x001A0
0x001A2; 0x001A3
0x001A3; 0x001A2
0x001A4; 0x001A5
0x001A5; 0x001A4
0x001A6; 0x00280
0x001A7; 0x001A8
0x001A8; 0x001A7
0x001A9; 0x00283
0x001AC; 0x001AD
0x001AD; 0x001AC
0x001AE; 0x00288
0x001AF; 0x001B0
0x001B0; 0x001AF
